38B,08,96,06,2C,1E,22,00,
38B,00,00,00,00,1E,21,00,
38B,00,00,00,00,9F,22,00,
38B,00,00,00,00,9E,22,00,
38B,00,00,00,00,1E,22,00,
38B,00,00,00,00,1E,22,00,
38B,00,00,00,00,9E,22,00,
38B,00,00,00,00,9E,22,00,
38B,00,00,00,00,1E,21,00,
38B,00,00,00,00,1E,22,00,
38B,07,7B,05,27,9E,21,00,
38B,08,C6,06,29,1E,21,00,
38B,09,24,06,2A,1E,22,00,
38B,09,8F,06,2C,9E,20,00,
38B,09,DE,07,2C,9E,21,00,
38B,0A,09,07,2D,1E,21,00,
38B,09,FE,07,2D,1E,21,00,
38B,09,DB,07,2E,9E,21,00,
38B,09,C6,07,2E,9E,21,00,
38B,09,82,06,2E,1E,20,00,
38B,09,6D,06,2D,1E,21,00,
38B,09,44,06,2D,9E,21,00,
38B,09,29,06,2D,9E,21,00,
38B,08,E6,06,2D,1E,1D,00,
38B,08,CC,06,2E,1E,1B,00,
38B,08,A9,06,2D,9E,20,00,
38B,08,9B,06,2D,1E,1F,00,
38B,08,99,06,2D,1E,20,00,
38B,00,00,00,00,9E,21,00,
38B,00,00,00,00,9E,20,00,
38B,00,00,00,00,1E,20,00,
38B,00,00,00,00,1E,20,00,
38B,00,00,00,00,9E,20,00,
38B,00,00,00,00,9E,20,00,
38B,00,00,00,00,1E,20,00,
38B,00,00,00,00,1E,20,00,
38B,02,D6,05,27,9D,20,00,
38B,07,80,05,28,9D,1F,00,
38B,08,E2,06,2A,1D,20,00,
38B,09,3D,06,2B,1D,20,00,
38B,09,9F,06,2C,9D,20,00,
38B,09,FB,07,2D,1D,20,00,
38B,0A,10,07,2D,1D,1F,00,
38B,09,F6,07,2D,9D,20,00,
38B,09,DB,07,2D,9D,1F,00,
38B,09,B3,07,2D,1D,20,00,
38B,09,95,06,2E,1D,20,00,
38B,09,61,06,2D,9D,20,00,
38B,09,46,06,2D,9D,20,00,
38B,09,1F,06,2D,1D,20,00,
38B,08,F8,06,2D,1D,1F,00,
38B,08,CF,06,2C,9D,1F,00,
38B,08,B7,06,2C,9D,1F,00,
38B,08,A0,06,2C,1D,1F,00,
38B,08,9A,06,2C,1D,20,00,
38B,00,00,00,00,9D,20,00,
38B,00,00,00,00,1D,20,00,
38B,00,00,00,00,1D,1F,00,
38B,00,00,00,00,9D,20,00,
38B,00,00,00,00,9D,20,00,
38B,00,00,00,00,1D,20,00,
38B,00,00,00,00,1D,20,00,
38B,02,D3,05,26,9D,1F,00,
38B,07,7B,05,27,9D,20,00,
38B,08,DC,06,28,1D,20,00,
38B,09,23,06,29,1D,1E,00,
38B,00,00,00,00,9D,15,00,
38B,03,50,06,2B,9D,1C,00,
38B,09,59,07,2D,1D,1E,00,
38B,09,F1,07,2D,1D,1E,00,
38B,0A,12,07,2E,9D,1F,00,
38B,0A,02,07,2E,1D,20,00,
38B,09,E0,07,2E,1D,1F,00,
38B,09,AC,07,2E,9D,1F,00,
38B,09,7E,06,2E,9D,20,00,
38B,09,4E,06,2E,1D,1F,00,
38B,09,2B,06,2D,1D,1D,00,
38B,09,00,06,2D,9D,1F,00,
38B,08,E2,06,2D,9D,1F,00,
38B,08,C3,06,2D,1D,1F,00,
38B,08,AD,06,2D,1D,1F,00,
38B,08,9E,06,2D,9D,1F,00,
38B,00,00,00,00,9D,20,00,
38B,00,00,00,00,1D,20,00,
38B,00,00,00,00,1D,1F,00,
38B,00,00,00,00,9D,20,00,
38B,00,00,00,00,9D,20,00,
38B,00,00,00,00,1D,1F,00,
38B,00,00,00,00,9D,20,00,
38B,00,00,00,00,9D,20,00,
38B,02,CF,05,27,1D,1F,00,
38B,07,76,05,27,1D,1F,00,
38B,08,E9,06,29,9D,20,00,
38B,09,6A,06,2B,9D,20,00,
38B,09,E1,07,2C,1D,20,00,
38B,0A,34,07,2D,1D,20,00,
38B,0A,73,07,2E,9C,1F,00,
38B,0A,7D,07,2E,9D,1F,00,
38B,0A,61,07,2E,1D,20,00,
38B,0A,52,07,2E,1D,1F,00,
38B,0A,04,07,2E,9D,22,00,
38B,09,E7,07,2E,9D,22,00,
38B,09,95,07,2E,1D,22,00,
38B,09,6A,06,2E,9D,22,00,
38B,09,44,06,2E,9D,22,00,
38B,09,1E,06,2E,1D,22,00,
38B,09,09,06,2D,1D,22,00,
38B,08,ED,06,2D,9D,22,00,
38B,08,D0,06,2D,9D,22,00,
38B,00,00,00,00,1D,23,00,
38B,00,00,00,00,1D,25,00,
38B,00,00,00,00,9D,29,00,
